[2019-08-12 09:14:16.620616] INFO: match_province: [ Error: province_failed | sorc_id: 8588850 | company: 黑吉双鸭山众龙腾汽车贸易有限公司 | marketing: 黑吉]
[2019-08-12 09:14:16.630581] INFO: match_province: [ Error: province_failed | sorc_id: 8588853 | company: 黑吉绥化市泰达汽车维修有限公司 | marketing: 黑吉]
[2019-08-12 09:14:16.639584] INFO: match_province: [ Error: province_failed | sorc_id: 8588866 | company: 皖南太和县范氏汽车服务有限公司 | marketing: 皖南]
[2019-08-12 09:14:16.647582] INFO: match_province: [ Error: province_failed | sorc_id: 8588989 | company: 晋北盂县晋田汽车销售服务有限公司 | marketing: 晋北]
[2019-08-12 09:14:16.656610] INFO: match_province: [ Error: province_failed | sorc_id: 8588868 | company: 晋北盂县晋田汽车销售服务有限公司 | marketing: 晋北]
[2019-08-12 09:14:16.664586] INFO: match_province: [ Error: province_failed | sorc_id: 8589004 | company: 黑吉哈尔滨铭远汽车销售服务有限公司 | marketing: 黑吉]
[2019-08-12 09:14:16.672585] INFO: match_province: [ Error: province_failed | sorc_id: 8588990 | company: 皖南淮北市万百贵商贸有限公司 | marketing: 皖南]
[2019-08-12 09:14:16.682584] INFO: match_province: [ Error: province_failed | sorc_id: 8588992 | company: 黑吉扎兰屯市佳运汽车销售有限公司 | marketing: 黑吉]
[2019-08-12 09:14:16.691588] INFO: match_province: [ Error: province_failed | sorc_id: 8588893 | company: 皖南滁州开发区宏达汽车修理厂 | marketing: 皖南]
[2019-08-12 09:14:16.700586] INFO: match_province: [ Error: province_failed | sorc_id: 8588957 | company: 晋北忻州汇福汽车销售服务有限公司 | marketing: 晋北]
[2019-08-12 09:14:16.710594] INFO: match_province: [ Error: province_failed | sorc_id: 8588962 | company: 晋北神池县嘉新汽车服务有限公司 | marketing: 晋北]
[2019-08-12 09:14:16.718598] INFO: match_province: [ Error: province_failed | sorc_id: 8588966 | company: 黑吉哈尔滨市宇鹏汽车修配厂 | marketing: 黑吉]
[2019-08-12 09:14:16.727586] INFO: match_province: [ Error: province_failed | sorc_id: 8588697 | company: 黑吉北安市东方华骏汽车销售服务有限公司 | marketing: 黑吉]
[2019-08-12 09:14:16.735597] INFO: match_province: [ Error: province_failed | sorc_id: 8588660 | company: 川南叙永县巨翔汽车维修有限公司 | marketing: 川南]
[2019-08-12 09:14:16.744596] INFO: match_province: [ Error: province_failed | sorc_id: 8588716 | company: 晋北盂县晋田汽车销售服务有限公司 | marketing: 晋北]
[2019-08-12 09:14:16.752590] INFO: match_province: [ Error: province_failed | sorc_id: 8588720 | company: 黑吉哈尔滨市宇鹏汽车修配厂 | marketing: 黑吉]
[2019-08-12 09:14:16.761590] INFO: match_province: [ Error: province_failed | sorc_id: 8588745 | company: 浙沪杭州驰文汽车服务有限公司 | marketing: 浙沪]
[2019-08-12 09:14:16.766588] INFO: match_province: [ Error: province_failed | sorc_id: 8597856 | company: 晋北盂县晋田汽车销售服务有限公司 | marketing: 晋北]
[2019-08-12 09:14:16.771641] INFO: match_province: [ Error: province_failed | sorc_id: 8588729 | company: 京津四平八达汽车贸易有限公司 | marketing: 京津]
[2019-08-12 09:14:16.776587] INFO: match_province: [ Error: province_failed | sorc_id: 8588582 | company: 晋北盂县晋田汽车销售服务有限公司 | marketing: 晋北]
[2019-08-12 09:14:16.781597] INFO: match_province: [ Error: province_failed | sorc_id: 8597835 | company: 晋北盂县晋田汽车销售服务有限公司 | marketing: 晋北]
[2019-08-12 09:14:16.786600] INFO: match_province: [ Error: province_failed | sorc_id: 8597836 | company: 晋北五寨县荣泰汽车贸易有限责任公司 | marketing: 晋北]
[2019-08-12 09:14:16.792630] INFO: match_province: [ Error: province_failed | sorc_id: 8597837 | company: 黑吉绥化福仕达汽车销售服务有限公司 | marketing: 黑吉]
[2019-08-12 09:14:16.797599] INFO: match_province: [ Error: province_failed | sorc_id: 8597838 | company: 黑吉绥化福仕达汽车销售服务有限公司 | marketing: 黑吉]
[2019-08-12 09:14:16.802604] INFO: match_province: [ Error: province_failed | sorc_id: 8588703 | company: 晋北盂县晋田汽车销售服务有限公司 | marketing: 晋北]
[2019-08-12 09:14:16.807602] INFO: match_province: [ Error: province_failed | sorc_id: 8597817 | company: 晋北五寨县鸿兴汽贸有限责任公司 | marketing: 晋北]
[2019-08-12 09:14:16.812588] INFO: match_province: [ Error: province_failed | sorc_id: 8588608 | company: 皖南宣城红云汽车服务有限公司 | marketing: 皖南]
[2019-08-12 09:14:16.818595] INFO: match_province: [ Error: province_failed | sorc_id: 8588609 | company: 晋北左权县鑫顺通汽修有限公司 | marketing: 晋北]
[2019-08-12 09:14:16.823595] INFO: match_province: [ Error: province_failed | sorc_id: 8588610 | company: 晋北左权县鑫顺通汽修有限公司 | marketing: 晋北]
[2019-08-12 09:14:16.828622] INFO: match_province: [ Error: province_failed | sorc_id: 8588611 | company: 晋北左权县鑫顺通汽修有限公司 | marketing: 晋北]
[2019-08-12 09:14:16.834603] INFO: match_province: [ Error: province_failed | sorc_id: 8597823 | company: 晋北盂县晋田汽车销售服务有限公司 | marketing: 晋北]
[2019-08-12 09:14:16.839601] INFO: match_province: [ Error: province_failed | sorc_id: 8588681 | company: 黑吉绥化市泰达汽车维修有限公司 | marketing: 黑吉]
[2019-08-12 09:14:16.844613] INFO: match_province: [ Error: province_failed | sorc_id: 8588682 | company: 黑吉绥化市泰达汽车维修有限公司 | marketing: 黑吉]
[2019-08-12 09:14:16.849602] INFO: match_province: [ Error: province_failed | sorc_id: 8588683 | company: 黑吉绥化市泰达汽车维修有限公司 | marketing: 黑吉]
[2019-08-12 09:14:16.854634] INFO: match_province: [ Error: province_failed | sorc_id: 8597943 | company: 川南叙永县巨翔汽车维修有限公司 | marketing: 川南]
[2019-08-12 09:14:16.860594] INFO: match_province: [ Error: province_failed | sorc_id: 8588688 | company: 晋北盂县晋田汽车销售服务有限公司 | marketing: 晋北]
[2019-08-12 09:14:16.865594] INFO: match_province: [ Error: province_failed | sorc_id: 8588691 | company: 川北叙永县巨翔汽车维修有限公司 | marketing: 川北]
[2019-08-12 09:14:16.870605] INFO: match_province: [ Error: province_failed | sorc_id: 8597913 | company: 黑吉哈尔滨市宇鹏汽车修配厂 | marketing: 黑吉]
[2019-08-12 09:14:16.875603] INFO: match_province: [ Error: province_failed | sorc_id: 8597874 | company: 黑吉齐齐哈尔宇丰实业有限公司 | marketing: 黑吉]
[2019-08-12 09:14:16.880604] INFO: match_province: [ Error: province_failed | sorc_id: 8597879 | company: 晋北交口县世佳鸿福汽修有限责任公司 | marketing: 晋北]
[2019-08-12 09:14:16.885601] INFO: match_province: [ Error: province_failed | sorc_id: 8597919 | company: 粤东+琼东源嘉诚汽车销售服务有限公司 | marketing: 粤东+琼]
[2019-08-12 09:14:16.895618] INFO: match_province: [ Error: province_failed | sorc_id: 8597905 | company: 晋北应县宏伟汽车服务有限责任公司 | marketing: 晋北]
[2019-08-12 09:14:16.904597] INFO: match_province: [ Error: province_failed | sorc_id: 8597906 | company: 黑吉齐齐哈尔宇丰实业有限公司 | marketing: 黑吉]
[2019-08-12 09:14:16.913640] INFO: match_province: [ Error: province_failed | sorc_id: 8588647 | company: 皖南太和县范氏汽车服务有限公司 | marketing: 皖南]
[2019-08-12 09:14:16.922609] INFO: match_province: [ Error: province_failed | sorc_id: 8588653 | company: 晋北保德县捷顺运输有限公司 | marketing: 晋北]
[2019-08-12 09:14:16.931598] INFO: match_province: [ Error: province_failed | sorc_id: 8597875 | company: 川南凉山州万泰汽车家园有限公司 | marketing: 川南]
[2019-08-12 09:14:16.940640] INFO: match_province: [ Error: province_failed | sorc_id: 8597898 | company: 福州南安市联鑫汽车维修有限公司 | marketing: 福州]
[2019-08-12 09:14:16.949598] INFO: match_province: [ Error: province_failed | sorc_id: 8597899 | company: 福州南安市联鑫汽车维修有限公司 | marketing: 福州]
[2019-08-12 09:14:16.959609] INFO: match_province: [ Error: province_failed | sorc_id: 8597903 | company: 浙沪宁波北仑飞翔汽车维修服务有限公司 | marketing: 浙沪]
[2019-08-12 09:14:16.968599] INFO: match_province: [ Error: province_failed | sorc_id: 8597840 | company: 福州厦门市星马王汽车销售有限公司 | marketing: 福州]
[2019-08-12 09:14:16.977599] INFO: match_province: [ Error: province_failed | sorc_id: 8588655 | company: 晋北盂县晋田汽车销售服务有限公司 | marketing: 晋北]
[2019-08-12 09:14:16.985600] INFO: match_province: [ Error: province_failed | sorc_id: 8588665 | company: 皖南太和县范氏汽车服务有限公司 | marketing: 皖南]
[2019-08-12 09:14:16.994627] INFO: match_province: [ Error: province_failed | sorc_id: 8608370 | company: 晋北五寨县荣泰汽车贸易有限责任公司 | marketing: 晋北]
[2019-08-12 09:14:17.003599] INFO: match_province: [ Error: province_failed | sorc_id: 8608371 | company: 晋北盂县晋田汽车销售服务有限公司 | marketing: 晋北]
[2019-08-12 09:14:17.012602] INFO: match_province: [ Error: province_failed | sorc_id: 8608582 | company: 皖南宿州市世搏工贸有限公司 | marketing: 皖南]
[2019-08-12 09:14:17.018602] INFO: match_province: [ Error: province_failed | sorc_id: 8608376 | company: 黑吉安达市福兴来车辆维护保养有限公司 | marketing: 黑吉]
[2019-08-12 09:14:17.023600] INFO: match_province: [ Error: province_failed | sorc_id: 8608378 | company: 黑吉安达市福兴来车辆维护保养有限公司 | marketing: 黑吉]
[2019-08-12 09:14:17.028602] INFO: match_province: [ Error: province_failed | sorc_id: 8608379 | company: 粤东+琼东莞市港丰汽车维修服务有限公司 | marketing: 粤东+琼]
[2019-08-12 09:14:17.033601] INFO: match_province: [ Error: province_failed | sorc_id: 8608587 | company: 皖南阜南县晨阳汽车销售服务有限公司 | marketing: 皖南]
[2019-08-12 09:14:17.038599] INFO: match_province: [ Error: province_failed | sorc_id: 8608589 | company: 黑吉哈尔滨市宇鹏汽车修配厂 | marketing: 黑吉]
[2019-08-12 09:14:17.043602] INFO: match_province: [ Error: province_failed | sorc_id: 8608383 | company: 皖南砀山县瑞诺汽车销售服务有限公司 | marketing: 皖南]
[2019-08-12 09:14:17.051602] INFO: match_province: [ Error: province_failed | sorc_id: 8608384 | company: 晋北五寨县荣泰汽车贸易有限责任公司 | marketing: 晋北]
[2019-08-12 09:14:17.060604] INFO: match_province: [ Error: province_failed | sorc_id: 8608603 | company: 晋北侯马市重和汽车修理厂 | marketing: 晋北]
[2019-08-12 09:14:17.069608] INFO: match_province: [ Error: province_failed | sorc_id: 8608604 | company: 晋北侯马市重和汽车修理厂 | marketing: 晋北]
[2019-08-12 09:14:17.078611] INFO: match_province: [ Error: province_failed | sorc_id: 8608640 | company: 黑吉佳木斯市北方博实汽车销售服务有限公司 | marketing: 黑吉]
[2019-08-12 09:14:17.087610] INFO: match_province: [ Error: province_failed | sorc_id: 8608407 | company: 粤东+琼英德市泰兴汽车贸易有限公司 | marketing: 粤东+琼]
[2019-08-12 09:14:17.096644] INFO: match_province: [ Error: province_failed | sorc_id: 8608409 | company: 浙沪嘉兴市欧亚汽车销售服务有限公司 | marketing: 浙沪]
[2019-08-12 09:14:17.105652] INFO: match_province: [ Error: province_failed | sorc_id: 8608618 | company: 黑吉哈尔滨市宇鹏汽车修配厂 | marketing: 黑吉]
[2019-08-12 09:14:17.114611] INFO: match_province: [ Error: province_failed | sorc_id: 8608619 | company: 晋北五台县强胜汽修有限公司 | marketing: 晋北]
[2019-08-12 09:14:17.123618] INFO: match_province: [ Error: province_failed | sorc_id: 8608517 | company: 黑吉洮南市桑博汽车销售有限公司 | marketing: 黑吉]
[2019-08-12 09:14:17.132603] INFO: match_province: [ Error: province_failed | sorc_id: 8608635 | company: 皖南灵璧县合盈汽车销售服务有限公司 | marketing: 皖南]
[2019-08-12 09:14:17.141649] INFO: match_province: [ Error: province_failed | sorc_id: 8608617 | company: 黑吉齐齐哈尔宇丰实业有限公司 | marketing: 黑吉]
[2019-08-12 09:14:17.150607] INFO: match_province: [ Error: province_failed | sorc_id: 8608508 | company: 黑吉密山市远程汽车经销有限公司 | marketing: 黑吉]
[2019-08-12 09:14:17.159606] INFO: match_province: [ Error: province_failed | sorc_id: 8608519 | company: 黑吉扎兰屯市佳运汽车销售有限公司 | marketing: 黑吉]
[2019-08-12 09:14:17.168619] INFO: match_province: [ Error: province_failed | sorc_id: 8608523 | company: 川北遂宁船山区世纪汽修部 | marketing: 川北]
[2019-08-12 09:14:17.177608] INFO: match_province: [ Error: province_failed | sorc_id: 8608525 | company: 黑吉大庆高新区福鑫汽车修理厂 | marketing: 黑吉]
[2019-08-12 09:14:17.186614] INFO: match_province: [ Error: province_failed | sorc_id: 8608526 | company: 川南凉山州万泰汽车家园有限公司 | marketing: 川南]
[2019-08-12 09:14:17.195614] INFO: match_province: [ Error: province_failed | sorc_id: 8608528 | company: 黑吉绥化福仕达汽车销售服务有限公司 | marketing: 黑吉]
[2019-08-12 09:14:17.204621] INFO: match_province: [ Error: province_failed | sorc_id: 8608532 | company: 黑吉佳木斯市北方博实汽车销售服务有限公司 | marketing: 黑吉]
[2019-08-12 09:14:17.213657] INFO: match_province: [ Error: province_failed | sorc_id: 8608509 | company: 黑吉密山市远程汽车经销有限公司 | marketing: 黑吉]
[2019-08-12 09:14:17.222609] INFO: match_province: [ Error: province_failed | sorc_id: 8608484 | company: 福州南安市联鑫汽车维修有限公司 | marketing: 福州]
[2019-08-12 09:14:17.231609] INFO: match_province: [ Error: province_failed | sorc_id: 8608490 | company: 粤东+琼英德市泰兴汽车贸易有限公司 | marketing: 粤东+琼]
[2019-08-12 09:14:17.241610] INFO: match_province: [ Error: province_failed | sorc_id: 8608503 | company: 晋北临汾晋驰汽车维修有限公司 | marketing: 晋北]
[2019-08-12 09:14:17.250628] INFO: match_province: [ Error: province_failed | sorc_id: 8608522 | company: 黑吉哈尔滨市宇鹏汽车修配厂 | marketing: 黑吉]
[2019-08-12 09:14:17.259618] INFO: match_province: [ Error: province_failed | sorc_id: 8608495 | company: 川南叙永县巨翔汽车维修有限公司 | marketing: 川南]
[2019-08-12 09:14:17.266612] INFO: match_province: [ Error: province_failed | sorc_id: 8608497 | company: 晋北偏关县宏发汽贸有限公司 | marketing: 晋北]
[2019-08-12 09:14:17.271611] INFO: match_province: [ Error: province_failed | sorc_id: 8608443 | company: 晋北临汾晋驰汽车维修有限公司 | marketing: 晋北]
[2019-08-12 09:14:17.277611] INFO: match_province: [ Error: province_failed | sorc_id: 8608615 | company: 晋北五寨县荣泰汽车贸易有限责任公司 | marketing: 晋北]
[2019-08-12 09:14:17.283612] INFO: match_province: [ Error: province_failed | sorc_id: 8608616 | company: 浙沪瑞安市通诚汽车维修服务有限公司 | marketing: 浙沪]
[2019-08-12 09:14:17.288611] INFO: match_province: [ Error: province_failed | sorc_id: 8608453 | company: 粤东+琼东莞市港丰汽车维修服务有限公司 | marketing: 粤东+琼]
[2019-08-12 09:14:17.293621] INFO: match_province: [ Error: province_failed | sorc_id: 8608454 | company: 粤东+琼东莞市港丰汽车维修服务有限公司 | marketing: 粤东+琼]
[2019-08-12 09:14:17.298615] INFO: match_province: [ Error: province_failed | sorc_id: 8608461 | company: 川南雅安市雨城区盛大汽车服务有限公司 | marketing: 川南]
[2019-08-12 09:14:17.304614] INFO: match_province: [ Error: province_failed | sorc_id: 8608566 | company: 粤东+琼东莞市瑞通汽车贸易有限公司 | marketing: 粤东+琼]
[2019-08-12 09:14:17.309627] INFO: match_province: [ Error: province_failed | sorc_id: 8608527 | company: 黑吉绥化福仕达汽车销售服务有限公司 | marketing: 黑吉]
[2019-08-12 09:14:17.314615] INFO: match_province: [ Error: province_failed | sorc_id: 8608374 | company: 晋北五寨县荣泰汽车贸易有限责任公司 | marketing: 晋北]
[2019-08-12 09:14:17.319616] INFO: match_province: [ Error: province_failed | sorc_id: 8608569 | company: 晋北岚县神龙亚飞汽车修理厂 | marketing: 晋北]
